source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,ruwe,astrometric_excess_noise,non_single_star,distance_pc,abs_g_mag,bp_rp_0,umap_1,umap_2,cluster_label
5290965062277122048,117.88994378687995,-60.52317789582314,2.2518438347991583,0.40146723,-3.779308552061944,0.5022108,11.524763754787497,0.5704889,20.166122,21.465332,18.785105,2.6802273,232.5889,7.6005745,35.132893,1.0741177,1.6984857,0,444.0805283858372,11.928813781192956,2.6802273,12.101413,8.884475,2
5291003648267134464,118.76165017528804,-60.01068710850733,2.476830864757576,0.08765548,-4.55356109691563,0.117915116,10.953102557300944,0.10747904,17.982622,19.53666,16.800238,2.7364216,782.0568,21.831764,165.4376,1.0629573,0.37966827,0,403.7417387795177,10.65860389515666,2.2969215,9.860841,1.9009975,2
5291026664995691008,119.41994070487756,-60.32838992542108,2.1129060068132035,0.14375472,-4.760066640668155,0.16802695,11.358922856468023,0.16331686,18.855513,20.555286,17.564844,2.9904423,545.4665,9.973615,103.450226,0.9862386,0.0,0,473.28181981377054,11.219313537082268,2.4641423,9.267123,9.210635,2
5291032128192644608,119.24905465761954,-60.20001563905485,1.9783940821758683,0.4428209,-5.270779544562988,0.5514647,11.579135461143313,0.53141594,20.093334,20.801292,18.737854,2.0634384,231.16512,9.043785,28.814411,1.138789,2.1536965,0,505.4604686747671,11.57489821940889,2.0634384,9.285683,11.217889,2
5291038828341890048,119.86957375509792,-60.00614456092654,2.7244114453270267,0.2806861,-4.161991617706353,0.33059335,11.392415290194489,0.30607593,19.53498,21.05989,18.276175,2.7837162,339.215,10.237112,51.341064,0.98697996,0.0,0,367.051754137659,11.711344254412808,2.7837162,15.364647,-0.8937429,2
5291050514946257152,119.22605292988317,-59.98918955526707,2.6085225217900425,0.09678539,-4.534698659345432,0.12113472,11.70908371539322,0.1187545,18.140665,19.446566,16.835938,2.6106281,548.37366,19.985245,87.438576,1.0203493,0.22522824,0,383.3587755699236,10.222638008025973,2.6106281,12.010087,0.5346628,2
5291050922969940096,119.25914613564618,-59.96203871782131,2.825481109464403,0.19611226,-4.886132147979517,0.24547447,10.575706856540458,0.22669786,19.15383,20.695929,17.90523,2.790699,426.63568,13.31496,77.38398,1.017686,0.3379413,0,353.92202646492285,11.40929161482357,2.790699,15.1160555,-1.826709,2
5291065663297737344,119.94701223686482,-59.917290584788695,2.5181152874086883,0.21760811,-5.34024655649552,0.24899721,11.339818250868213,0.2242753,19.051231,20.694555,17.796993,2.897562,414.27112,13.816148,89.44609,0.9095553,0.0,0,397.12240539592926,11.056609432396405,2.897562,13.658984,2.4226482,2
5290827103633151360,120.21533473981954,-60.42178959479493,2.2803937611217817,0.21677904,-5.151128292059294,0.29535457,11.395996248589322,0.31398988,19.363747,20.853811,18.096516,2.7572956,424.0058,8.4869995,85.72252,1.1077526,0.9056077,0,438.5207577081229,11.153795863852272,2.7572956,11.468152,7.665341,2
5290827687748730496,120.21873592161776,-60.40168652705984,2.3858626938938734,0.11390822,-4.688169637446858,0.15451065,11.59515176095501,0.16343774,18.381887,19.867327,17.16145,2.7058773,661.595,14.382939,140.81705,1.010945,0.34944528,0,419.13560346925874,10.937414654094638,2.2751772,10.607203,3.9067266,2
5290831196737012864,120.19870129546403,-60.32092547878346,2.8589338811422484,0.29993546,-4.12714092466305,0.39183137,11.512325793200016,0.44766465,19.875145,21.048643,18.514706,2.5339375,315.27527,7.78653,51.42395,1.024844,1.132149,0,349.7807370069235,12.15616551600112,2.5339375,15.583193,-2.1767745,2
5290832051435633024,120.20878846936333,-60.272040364747625,2.6927508150769923,0.14911363,-4.348023117179951,0.18098566,10.361157528060934,0.2060802,18.886454,20.587236,17.684559,2.9026775,572.4321,15.663672,85.424324,1.0407215,0.0,0,371.3674486331583,11.577234446912032,2.5346775,14.188363,-0.5326518,2
5290833155241798656,119.5908325656611,-60.51449902331701,2.431365283932286,0.2970831,-4.432453820915924,0.39725584,12.008727888328693,0.3320148,19.605299,19.958853,17.912813,2.0460396,319.78778,7.3708816,4.3948874,0.98249364,0.0,0,411.2915515445232,11.534550052793396,2.0460396,13.013414,4.093007,2
5290833460184569984,119.3865743192483,-60.56018400589154,2.3554698983184985,0.059576362,-5.409904559891027,0.0772125,11.183160736361762,0.06268335,17.302269,18.58493,16.203411,2.3815193,1162.7788,55.503006,248.23254,0.98618823,0.0,0,424.54373996198,9.727056791954483,2.0429194,7.3202505,2.9187894,2
5290834082959492480,119.4699900453596,-60.51323276123343,2.402731141481542,0.041278284,-5.002960405539327,0.056716293,11.076785372133193,0.048148412,16.590696,17.638422,15.572016,2.0664062,1220.6395,167.6941,440.5622,1.0497049,0.13835667,0,416.1930491246692,10.000122246470184,1.2349062,4.6112657,0.54480565,2
5290836896160183680,119.38588576357316,-60.48987460360622,2.504014258733315,0.27463576,-5.029442559797384,0.34861776,10.624605676670209,0.29616106,19.699314,21.034721,18.319036,2.715685,371.27032,12.635563,67.20319,1.0561703,1.2776977,0,399.35874826282407,11.69249810528248,2.715685,14.498062,3.5655434,2
5290838133110783104,119.2889172980215,-60.4462180341834,2.2142504725301486,0.22295468,-4.904921314962582,0.27741712,11.385344047237158,0.2701118,19.243229,20.64242,18.000288,2.6421318,436.161,8.2272005,73.85405,1.051036,1.2125069,0,451.6200910447742,10.969362642503878,2.6421318,10.228319,8.404998,2
5290843600607100928,120.07389524100928,-60.27695191083132,2.3736718271490256,0.051758982,-4.818992843668225,0.064144775,11.118278634548073,0.072298,17.025553,18.116804,15.973784,2.1430197,1211.3981,95.50169,413.1211,1.0214965,0.0,0,421.2882288791715,9.388256120439646,1.8642197,5.783602,1.7216713,2
5290867721143463168,120.24865264738337,-60.19852564677187,2.385994814402281,0.08515487,-4.914743618708728,0.10428876,11.475281862056203,0.122904785,17.919636,19.125015,16.71989,2.4051247,684.617,23.095285,136.52766,1.0176135,0.0,0,419.1123945298731,10.47238323151472,1.9887247,8.537232,3.1205523,2
5290873489281869952,120.11136835991064,-60.02842820488273,2.023962388252887,0.33067292,-3.7370135222657663,0.34246677,10.570632771337568,0.3514861,19.786818,21.212362,18.510645,2.7017174,319.63895,7.9142385,48.44703,0.9533222,0.0,0,494.08032768000896,11.317829738913996,2.7017174,9.371908,11.0154085,2
5290890566068937856,117.73767794928118,-60.97232586492865,2.0188901019515484,0.23212448,-4.438530496715395,0.3130088,11.49709498219735,0.23992062,19.322264,20.845715,18.09043,2.7552853,444.45685,10.279913,83.90628,1.032421,0.9747395,0,495.32166165625154,10.847827111737992,2.7552853,9.024488,10.757615,2
5290899259082955264,118.08250014787428,-60.79887348127585,2.170203765944282,0.34859648,-5.09527121060907,0.53920144,10.514276949681255,0.46802613,20.051277,21.293951,18.740381,2.5535698,281.24158,6.6140485,37.839405,1.0338488,1.1245675,0,460.786224635864,11.733779724519872,2.5535698,11.091056,9.797171,2
5290899847497012352,117.97729648543137,-60.79909986420262,2.5601404719162995,0.026453126,-5.729505605428276,0.035288397,10.738137255764943,0.033951968,15.751612,16.572845,14.867738,1.7051077,2872.7598,332.7024,781.32135,0.96482265,0.0,0,390.6035668626756,7.792930685576653,1.7051077,2.8664663,-1.0053147,-1
5290901290606131584,118.33214582051716,-60.71359823429692,2.410672465794591,0.014443737,-4.5631312488397855,0.020384977,10.908411098916858,0.02037056,10.030169,10.092132,9.897886,0.19424534,3968.0151,3172.1816,3378.353,0.93568444,0.12864654,0,414.822010948877,2.345159575020407,-0.021154657,-4.652865,6.9426074,2
