source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,ruwe,astrometric_excess_noise,non_single_star,distance_pc,abs_g_mag,bp_rp_0
5290822671226755712,119.69489182141032,-60.52872407689408,2.4958415096002033,0.4751666,-4.8922850261609705,0.8279161,12.112339175394121,0.56946284,20.134024,21.187384,18.747215,2.4401684,243.52625,6.033883,35.923084,1.101534,1.693437,0,400.6664670627203,12.120108683429997,2.4401684
5290829852412285312,120.00816616008214,-60.38243002495905,2.357551119719765,0.1464232,-5.1978397819396385,0.19117741,10.784188255833906,0.21061917,18.758926,20.444216,17.522581,2.9216347,562.7003,12.829819,116.27004,0.9898114,0.2664646,0,424.168957201177,10.01683200494534,2.5023346
5290835869660620416,119.62101955408143,-60.43827714391225,2.2942705818838762,0.20075272,-4.2204713770464055,0.27425733,10.809435365597503,0.21534394,19.205648,20.9207,17.959454,2.9612465,446.64957,11.9525795,98.26729,1.0104662,0.5236469,0,435.8683792122191,11.008871604472894,2.9612465
5290836934817777664,119.41401895002255,-60.47626927580178,2.4476828593307007,0.022053938,-5.16005531088134,0.029160257,11.003378756423324,0.024391754,15.472327,16.229185,14.625704,1.6034813,1663.4208,290.28967,541.8072,1.0794483,0.0,0,408.54966001332457,7.032402952080176,1.4001813
5290840233354676992,119.55792934052278,-60.33377031442232,2.4593999995281868,0.019598534,-3.537066147564033,0.023775453,11.390012611640373,0.021400075,14.864501,15.483564,14.099832,1.3837328,560.0281,148.6471,235.00891,1.0865436,0.09891826,0,406.6032366397661,6.092046851213269,0.9909328
5290841057986430336,119.63602157361834,-60.26096139130801,2.4033862714230403,0.013014492,-4.91346412436348,0.015089936,11.667396617673436,0.014225795,12.923558,13.276554,12.395228,0.8813257,2834.3188,844.0833,972.9674,1.0543317,0.101583965,0,416.0796006410996,4.770376114159715,0.8503257
5290847380178313856,119.84881652713517,-60.199397525673966,2.501450800602376,0.015501598,-4.464003121104714,0.018536868,11.51398722842464,0.018498942,9.536184,9.560698,9.466658,0.09403992,2722.6863,1399.2953,1535.9318,1.0096401,0.14955114,0,399.76800653412386,1.527144138161482,0.09403992
5290858405355461376,120.55057180129776,-60.104220258841245,2.538239702337945,0.16364445,-5.215770655017269,0.19134049,10.524330549382592,0.22365345,18.793322,20.467487,17.562801,2.904686,648.8981,16.870836,109.85943,1.0128064,0.65080065,0,393.97382330711747,10.189384747027724,2.4821858
5290865242944954880,120.75844626960448,-59.98493373688444,2.7931913670392534,0.290112,-5.477320144145494,0.3390178,11.35586382779675,0.34991303,19.71306,21.134155,18.44609,2.6880646,321.41248,7.90395,76.074295,1.0499743,1.383839,0,358.0134221379851,11.943563834479457,2.6880646
5290867957363855744,120.20530458829514,-60.18397118681857,2.338735435372098,0.122010976,-5.050766890376505,0.14499913,11.06972957313377,0.15879658,18.406885,19.824799,17.033772,2.791027,693.7048,22.5539,86.95842,1.1022301,0.45655015,0,427.5814976228372,10.251790626690699,2.791027
5290868099100588928,120.28881573989179,-60.18861790200371,2.042727149541495,0.1871538,-6.045548415512167,0.2271888,9.475788853311267,0.28509635,18.734423,20.441027,17.384289,3.056738,310.61514,12.790223,119.08777,1.2563376,1.2244841,0,489.5416405585334,10.285474489070639,3.056738
5290874455652206464,120.27281911119928,-60.0076684571132,2.3861392229998297,0.09102643,-4.9879787455894125,0.11621563,10.617834487708528,0.12773374,17.664352,19.243103,16.454855,2.788248,939.4299,47.776405,275.32626,1.0707242,0.36693853,0,419.0870299440492,8.813931309473839,2.313448
5290885863084040704,117.8707007020061,-61.101391410305745,2.415619158961623,0.010608377,-4.025256898892926,0.01340115,11.275210642071647,0.012222591,12.618524,12.957086,12.105816,0.8512697,4461.2485,1402.0885,1967.7151,1.0811151,0.06948511,0,413.97254045205517,4.341265931492536,0.7469697
5290887267534708224,117.7836278847222,-61.021348625949955,1.7742179542420493,0.20186736,-1.926556771619817,0.24015449,11.304159804175887,0.2188664,19.080328,20.397337,17.94756,2.4497776,519.4012,15.3639765,81.605034,1.0619013,0.76878947,0,563.6286103457919,10.325362836599131,2.4497776
5289878950950802688,120.01615839496662,-61.55818910669933,2.498674749612862,0.036584128,-3.959905283891815,0.056758203,11.714089422955595,0.04844384,16.523838,17.57334,15.520192,2.0531473,1669.4725,159.12323,482.7416,1.0200633,0.0766646,0,400.21215252402794,7.744886700195389,1.6324472
5289889911703569152,119.59921269285695,-61.45635258007551,1.5781830135412227,0.38436955,-6.925775091723364,0.51464957,9.652129322430454,0.53337425,20.109997,19.45915,18.068712,1.3904381,86.00201,7.758376,13.318554,1.0714788,1.0178176,0,633.6400730585354,11.10078361879934,1.3904381
5289896749295043456,119.64019374498046,-61.40451385618261,1.5775109015098503,0.010275334,-6.865801415567365,0.013926898,9.19027811302252,0.012592278,13.442616,13.805743,12.90279,0.90295315,7015.5137,1877.3827,2746.0088,1.0647864,0.0,0,633.9100408389512,3.989078312901137,0.6613531
5289897642648246272,119.79193857209228,-61.32151457241742,2.5868071881726724,0.05475415,-4.8291595996410495,0.07122544,11.183595652651068,0.065112606,17.24875,18.449297,16.17445,2.274847,1610.5737,79.72621,324.19302,1.0569108,0.116329506,0,386.57693722677595,8.705570988752967,1.922147
5289921380929319168,120.78182702790771,-61.52717989483203,2.4185262158060983,0.056974374,-5.161408050258324,0.07880356,10.99539755903182,0.07245922,17.210629,18.462307,16.122545,2.3397617,1190.7306,79.23157,345.30136,0.97351295,0.0,0,413.47494745542735,8.554282488570655,2.0024617
5289922411720977152,120.53782540044892,-61.589850392370636,1.9101014982681463,0.09065584,-3.2816371935292312,0.12668237,11.533129756302545,0.11623606,18.045353,19.365154,16.906973,2.4581814,942.61896,30.765747,121.20095,0.9454102,0.0,0,523.53238867499,8.802635160087227,2.0674813
5289925302240267776,120.64661725315949,-61.49710050240278,1.8657107057032536,0.2850801,-3.4330162140776865,0.4141615,9.125071943978206,0.382171,19.546036,20.751516,18.364735,2.3867817,364.95715,10.947824,58.42584,1.0763649,1.0874299,0,535.9887773292612,10.900257284508978,2.3867817
5289982953580850304,120.95947939088025,-61.158052397641214,2.5173077980187437,0.09215999,-4.883270173949996,0.10817181,11.299381448447608,0.11404137,17.86726,19.321285,16.688356,2.6329288,868.0298,27.795067,153.01337,1.0616394,0.31115517,0,397.2497923325283,9.254041571092333,2.247129
5289982957879843968,120.95007141592883,-61.15745146849501,2.489080102822034,0.025403054,-5.123670135398512,0.031055447,11.366955603162728,0.0316228,15.550271,16.327572,14.660143,1.667429,455.59186,89.40963,155.22292,1.0288256,0.0,0,401.75484865522577,6.395465409612349,1.0541289
5289987454706663808,120.90367702655311,-61.07307413126982,2.349579880971331,0.10973475,-4.710903458381248,0.123542756,11.197406839271709,0.15307802,18.23814,19.869776,17.042913,2.8268623,798.63043,22.499876,151.83191,1.033928,0.4153666,0,425.6080025619703,9.480691184600982,2.4319623
5289991234277174272,120.32811575834906,-61.22650429822949,2.4070868026560786,0.09062218,-4.6909587282478915,0.122495525,11.197429810725865,0.110112555,18.01858,19.475077,16.84746,2.627617,910.4794,25.79842,157.99257,1.0084658,0.0,0,415.43994130023015,9.235638237529455,2.1967168
5290000099090504704,120.69978910466676,-61.024126217329574,2.0736017227276404,0.13287488,-4.237763314014106,0.1810053,10.955886074523114,0.1626178,18.012432,19.029907,16.635689,2.3942184,572.4905,24.408737,116.130005,1.1704241,1.0284032,0,482.25268576869627,9.596058823379549,2.3942184
5290009621036840064,121.4478038754394,-60.95049815842322,2.421663910875007,0.01463417,-5.298230823284089,0.018278651,11.11795702606347,0.018139906,10.118164,10.1878,9.981739,0.20606136,3260.1614,2326.3828,3768.551,0.95370173,0.12500952,0,412.9392173328772,1.686033415952279,0.018461362
5290011407743074048,120.98314987936695,-60.993081668528156,2.422969584601523,0.021505233,-4.540080783420428,0.025999434,10.6137523475128,0.030081367,15.295555,15.981154,14.4544935,1.5266609,758.0957,125.11978,198.33205,0.99013203,0.0,0,412.71669539527386,7.217294927235873,1.5266609
5290029034288645888,120.83293962170166,-60.799240834198365,2.535012478143602,0.010539102,-6.813184664518714,0.014714613,9.956218417671913,0.013689596,11.586365,11.857455,11.15106,0.70639515,7381.8784,2723.6511,4361.718,0.86522967,0.08688882,0,394.4753758104983,3.395665249549621,0.59249514
5290031091575685120,120.98419409438019,-60.723861040307796,2.4336142169719044,0.31451762,-5.3484347985443375,0.47028607,11.366069918029975,0.4419808,19.468071,21.293413,18.15507,3.1383438,347.12192,9.410254,62.176407,1.0998038,1.3112471,0,410.91147192765794,11.399329653029652,3.1383438
5290034080872983552,121.42239876064227,-60.63042787377775,2.153628621021045,0.17300184,-5.228614430471954,0.21194333,11.452799435319987,0.18274899,18.882854,20.508966,17.637669,2.8712978,551.0414,15.0869,118.72588,0.9921912,0.7598086,0,464.332610664273,10.096108530451444,2.5662978
5290619364655239168,118.93700811807956,-61.514608011153676,2.197428119606417,0.13819939,-4.641564045964995,0.18358898,11.924475089304847,0.1925229,18.592655,20.170652,17.37579,2.7948627,655.5335,17.107397,128.03879,1.0463157,0.5094053,0,455.0774567220477,9.619928598842499,2.3490627
5290641840224092672,119.58884565308831,-61.363465497494104,1.8230487433166416,0.011382331,-2.119709903536558,0.014266211,9.643362475381306,0.013312726,13.861123,14.251535,13.301253,0.9502821,6683.2456,1564.1637,2514.6963,1.0173857,0.0,0,548.5316855438089,4.856314476408372,0.7834821
5290646130890161536,119.47538299665038,-61.296918804366,2.4188757234575102,0.010090982,-4.360591622986153,0.013162747,11.469291252889612,0.010819002,12.038329,12.334038,11.573751,0.76028633,7462.944,1727.1626,3185.868,0.9110775,0.060060073,0,413.41520372556084,3.791196908583581,0.67068636
5290649773022548864,119.6838930978055,-61.21909070808882,2.4539390041247677,0.37249863,-5.299926399574834,0.4842253,10.69312077003827,0.38030425,19.905598,21.09209,18.691502,2.400589,274.6538,10.186505,29.15092,1.0234075,1.3261607,0,407.50809140696805,11.854916504596073,2.400589
5290650052201575040,119.84670861988495,-61.23473765159763,2.429669319212876,0.012068981,-4.397597417330644,0.016995218,11.171761973840614,0.012817634,12.912468,13.284221,12.365904,0.91831684,3389.5623,972.33923,1334.9109,0.96259534,0.07203601,0,411.5786424483326,4.524703813574922,0.74781686
5290652732261058816,119.67428477889982,-61.200523485053395,2.482485770065172,0.041097466,-4.754725024129835,0.05274257,11.223665684667782,0.044681888,16.459148,17.676617,15.348965,2.327652,1748.3562,141.93753,384.23755,1.0091307,0.087236844,0,402.8220471828716,7.742382227760759,1.924452
5290652865399644416,119.58592608951626,-61.20646169579479,2.24862715390734,0.46049842,-3.787400986740809,0.5729122,11.583728102703223,0.5007944,20.263529,21.096941,18.945393,2.1515484,218.42691,8.238938,33.40888,1.1072651,0.7418202,0,444.7157894817485,12.02311607785521,2.1515484
5290652938419484928,119.59293769412514,-61.18544785078902,2.5478887640796004,0.040979393,-4.330157207413402,0.05247697,11.300727967075954,0.04629982,16.630264,17.715717,15.602567,2.1131506,795.1467,119.08327,243.42842,1.015504,0.028384153,0,392.48181243157217,8.661166600305792,2.1131506
